filename,path,operationId,verb,response_object,tags,params,summary,description,stackql_resource_name,stackql_method_name,stackql_verb,stackql_object_key
iamv2.json,/api/2.0/{parent}/account-access-identity-rules,account_iam_v2_create_account_access_identity_rule,post,AccountAccessIdentityRule,"iamv2, account_iam_v2","parent, external_principal_id, account_access_identity_rule",Creates a new account access identity rule for a given account. This allows administrators to,Creates a new account access identity rule for a given account. This allows administrators to explicitly allow or deny specific principals from accessing the account.  :param parent: str   Required. The account under which to create the rule. Format: accounts/{account_id} :param account_access_identity_rule: :class:`AccountAccessIdentityRule`   Required. The rule to create. :param external_principal_id: str   Required. The external ID of the principal in the customer's IdP.  :returns: :class:`AccountAccessIdentityRule`,account_access_identity_rules,create,insert,
iamv2.json,/api/2.0/{parent}/account-access-identity-rules,account_iam_v2_list_account_access_identity_rules,get,ListAccountAccessIdentityRulesResponse,"iamv2, account_iam_v2","parent, filter, page_size, page_token",Lists all account access identity rules for a given account. These rules control which principals,"Lists all account access identity rules for a given account. These rules control which principals (users, service principals, groups) from the customer's IdP are allowed or denied access to the Databricks account.  :param parent: str   Required. The account for which to list the rules. Format: accounts/{account_id} :param filter: str (optional)   Optional. Filter to apply to the list. Supports filtering by displayName. :param page_size: int (optional)   Optional. The maximum number of rules to return. The service may return fewer than this value. :param page_token: str (optional)   Optional. A page token, received from a previous call. Provide this to retrieve the subsequent page.  :returns: :class:`ListAccountAccessIdentityRulesResponse`",account_access_identity_rules,list,select,$.account_access_identity_rules
iamv2.json,/api/2.0/{parent}/attribute-control-entries,account_iam_v2_create_attribute_control_entry,post,AttributeControlEntry,"iamv2, account_iam_v2","parent, attribute_control_entry_id, attribute_control_entry",Creates (allows) an identity attribute control-list entry for an account.,"Creates (allows) an identity attribute control-list entry for an account.  :param parent: str   Required. The account under which to create the entry. Format: accounts/{account_id} :param attribute_control_entry: :class:`AttributeControlEntry`   Required. The entry to create. :param attribute_control_entry_id: str (optional)   Optional. The ID to use for the entry, which becomes the last segment of its resource name: the IdP   attribute being governed (e.g. ""department"").  :returns: :class:`AttributeControlEntry`",attribute_control_entries,create,insert,
iamv2.json,/api/2.0/{parent}/attribute-control-entries,account_iam_v2_list_attribute_control_entries,get,ListAttributeControlEntriesResponse,"iamv2, account_iam_v2","parent, page_size, page_token",Lists the identity attribute control-list entries for an account.,"Lists the identity attribute control-list entries for an account.  :param parent: str   Required. The account for which to list entries. Format: accounts/{account_id} :param page_size: int (optional)   Optional. The maximum number of entries to return. :param page_token: str (optional)   Optional. A page token from a previous call, to retrieve the next page.  :returns: :class:`ListAttributeControlEntriesResponse`",attribute_control_entries,list,select,$.attribute_control_entries
iamv2.json,/api/2.0/identity/accounts/{account_id}/groups/{group_id}/direct-members,account_iam_v2_create_direct_group_member,post,DirectGroupMember,"iamv2, account_iam_v2","account_id, group_id, direct_group_member",Creates a group membership (assigns a principal to a group).,Creates a group membership (assigns a principal to a group).  :param group_id: int   Required. Internal ID of the group in Databricks. :param direct_group_member: :class:`DirectGroupMember`   Required. The direct group member to be added to the group.  :returns: :class:`DirectGroupMember`,direct_group_members,create,insert,
iamv2.json,/api/2.0/identity/accounts/{account_id}/groups/{group_id}/direct-members,account_iam_v2_list_direct_group_members,get,ListDirectGroupMembersResponse,"iamv2, account_iam_v2","account_id, group_id, page_size, page_token",Lists provisioned direct members of a group with their membership source (internal or from identity,"Lists provisioned direct members of a group with their membership source (internal or from identity provider).  :param group_id: int   Required. Internal ID of the group in Databricks whose direct members are being listed. :param page_size: int (optional)   The maximum number of members to return. The service may return fewer than this value. If not   provided, defaults to 1000 (also the maximum allowed). :param page_token: str (optional)   A page token, received from a previous ListDirectGroupMembers call. Provide this to retrieve the   subsequent page.  :returns: :class:`ListDirectGroupMembersResponse`",direct_group_members,list,select,$.direct_group_members
iamv2.json,/api/2.0/identity/accounts/{account_id}/groups,account_iam_v2_create_group,post,Group,"iamv2, account_iam_v2","account_id, group",Creates a group in the Databricks account and returns the resulting Group resource.,Creates a group in the Databricks account and returns the resulting Group resource.  :param group: :class:`Group`   Required. Group to be created in <Databricks>  :returns: :class:`Group`,groups,create,insert,
iamv2.json,/api/2.0/identity/accounts/{account_id}/groups,account_iam_v2_list_groups,get,ListGroupsResponse,"iamv2, account_iam_v2","account_id, filter, page_size, page_token","Lists the groups in the Databricks account, returning one page per call. Supports filtering by group","Lists the groups in the Databricks account, returning one page per call. Supports filtering by group name or external ID.  :param filter: str (optional)   Optional. Allows filtering groups by group name or external id. :param page_size: int (optional)   The maximum number of groups to return. The service may return fewer than this value. :param page_token: str (optional)   A page token, received from a previous ListGroups call. Provide this to retrieve the subsequent   page.  :returns: :class:`ListGroupsResponse`",groups,list,select,$.groups
iamv2.json,/api/2.0/identity/accounts/{account_id}/service-principals,account_iam_v2_create_service_principal,post,ServicePrincipal,"iamv2, account_iam_v2","account_id, service_principal",Creates a service principal in the Databricks account and returns the resulting ServicePrincipal,Creates a service principal in the Databricks account and returns the resulting ServicePrincipal resource.  :param service_principal: :class:`ServicePrincipal`   Required. Service principal to be created in <Databricks>  :returns: :class:`ServicePrincipal`,service_principals,create,insert,
iamv2.json,/api/2.0/identity/accounts/{account_id}/service-principals,account_iam_v2_list_service_principals,get,ListServicePrincipalsResponse,"iamv2, account_iam_v2","account_id, filter, page_size, page_token","Lists the service principals in the Databricks account, returning one page per call. Supports","Lists the service principals in the Databricks account, returning one page per call. Supports filtering by application ID or external ID.  :param filter: str (optional)   Optional. Allows filtering service principals by application id or external id. :param page_size: int (optional)   The maximum number of service principals to return. The service may return fewer than this value. :param page_token: str (optional)   A page token, received from a previous ListServicePrincipals call. Provide this to retrieve the   subsequent page.  :returns: :class:`ListServicePrincipalsResponse`",service_principals,list,select,$.service_principals
