filename,path,operationId,verb,response_object,tags,params,summary,description,stackql_resource_name,stackql_method_name,stackql_verb,stackql_object_key
supervisoragents.json,/api/2.1/{parent}/examples,supervisor_agents_create_example,post,Example,"supervisoragents, supervisor_agents","parent, example",Creates an example for a Supervisor Agent.,Creates an example for a Supervisor Agent.  :param parent: str   Parent resource where this example will be created. Format: supervisor-agents/{supervisor_agent_id} :param example: :class:`Example`   The example to create under the parent Supervisor Agent.  :returns: :class:`Example`,examples,create,insert,
supervisoragents.json,/api/2.1/{parent}/examples,supervisor_agents_list_examples,get,ListExamplesResponse,"supervisoragents, supervisor_agents","parent, page_size, page_token",Lists examples under a Supervisor Agent.,"Lists examples under a Supervisor Agent.  :param parent: str   Parent resource to list from. Format: supervisor-agents/{supervisor_agent_id} :param page_size: int (optional)   The maximum number of examples to return. If unspecified, at most 100 examples will be returned. The   maximum value is 100; values above 100 will be coerced to 100. :param page_token: str (optional)   A page token, received from a previous ``ListExamples`` call. Provide this to retrieve the   subsequent page. If unspecified, the first page will be returned.  :returns: Iterator over :class:`Example`",examples,list,select,$.examples
supervisoragents.json,/api/2.1/supervisor-agents,supervisor_agents_create_supervisor_agent,post,SupervisorAgent,"supervisoragents, supervisor_agents",supervisor_agent,Creates a new Supervisor Agent.,Creates a new Supervisor Agent.  :param supervisor_agent: :class:`SupervisorAgent`   The Supervisor Agent to create.  :returns: :class:`SupervisorAgent`,supervisor_agents,create,insert,
supervisoragents.json,/api/2.1/supervisor-agents,supervisor_agents_list_supervisor_agents,get,ListSupervisorAgentsResponse,"supervisoragents, supervisor_agents","page_size, page_token",Lists Supervisor Agents.,"Lists Supervisor Agents.  :param page_size: int (optional)   The maximum number of supervisor agents to return. If unspecified, at most 100 supervisor agents   will be returned. The maximum value is 100; values above 100 will be coerced to 100. :param page_token: str (optional)   A page token, received from a previous ``ListSupervisorAgents`` call. Provide this to retrieve the   subsequent page. If unspecified, the first page will be returned.  :returns: Iterator over :class:`SupervisorAgent`",supervisor_agents,list,select,$.supervisor_agents
supervisoragents.json,/api/2.1/{parent}/tools,supervisor_agents_create_tool,post,Tool,"supervisoragents, supervisor_agents","parent, tool_id, tool","Creates a Tool under a Supervisor Agent. Specify one of ""genie_space"", ""knowledge_assistant"",","Creates a Tool under a Supervisor Agent. Specify one of ""genie_space"", ""knowledge_assistant"", ""uc_function"", ""uc_connection"", ""app"", ""volume"", ""dashboard"", ""table"", ""vector_search_index"", ""catalog"", ""schema"", ""supervisor_agent"", ""databricks_web_search"", ""skill"" in the request body. The legacy values ""lakeview_dashboard"", ""uc_table"", and ""web_search"" are also accepted and remain equivalent to ""dashboard"", ""table"", and ""databricks_web_search"" respectively. The ""databricks_web_search"" tool_type maps to the ``web_search`` spec field.  :param parent: str   Parent resource where this tool will be created. Format: supervisor-agents/{supervisor_agent_id} :param tool: :class:`Tool` :param tool_id: str   The ID to use for the tool, which will become the final component of the tool's resource name.  :returns: :class:`Tool`",tools,create,insert,
supervisoragents.json,/api/2.1/{parent}/tools,supervisor_agents_list_tools,get,ListToolsResponse,"supervisoragents, supervisor_agents","parent, page_size, page_token",Lists Tools under a Supervisor Agent.,Lists Tools under a Supervisor Agent.  :param parent: str   Parent resource to list from. Format: supervisor-agents/{supervisor_agent_id} :param page_size: int (optional) :param page_token: str (optional)  :returns: Iterator over :class:`Tool`,tools,list,select,$.tools
supervisoragents.json,/api/2.1/{name},supervisor_agents_delete_tool,delete,,"supervisoragents, supervisor_agents",name,Deletes a Tool.,Deletes a Tool.  :param name: str   The resource name of the Tool. Format: supervisor-agents/{supervisor_agent_id}/tools/{tool_id},tools,delete,delete,
supervisoragents.json,/api/2.1/{name},supervisor_agents_get_tool,get,Tool,"supervisoragents, supervisor_agents",name,Gets a Tool.,Gets a Tool.  :param name: str   The resource name of the Tool. Format: supervisor-agents/{supervisor_agent_id}/tools/{tool_id}  :returns: :class:`Tool`,tools,get,select,
supervisoragents.json,/api/2.1/{name},supervisor_agents_update_tool,patch,Tool,"supervisoragents, supervisor_agents","name, update_mask, tool",Updates a Tool. Only the ``description`` field can be updated. To change immutable fields such as tool,"Updates a Tool. Only the ``description`` field can be updated. To change immutable fields such as tool type, spec, or tool ID, delete the tool and recreate it.  :param name: str   Full resource name: supervisor-agents/{supervisor_agent_id}/tools/{tool_id} :param tool: :class:`Tool`   The Tool to update. :param update_mask: FieldMask   Field mask for fields to be updated.  :returns: :class:`Tool`",tools,update,update,
supervisoragents.json,/api/2.0/permissions/supervisor-agents/{supervisor_agent_id}/permissionLevels,supervisor_agents_get_permission_levels,get,GetSupervisorAgentPermissionLevelsResponse,"supervisoragents, supervisor_agents",supervisor_agent_id,Gets the permission levels that a user can have on an object.,Gets the permission levels that a user can have on an object.  :param supervisor_agent_id: str   The supervisor agent for which to get or manage permissions.  :returns: :class:`GetSupervisorAgentPermissionLevelsResponse`,supervisor_agent_permission_levels,get,select,
supervisoragents.json,/api/2.0/permissions/supervisor-agents/{supervisor_agent_id},supervisor_agents_get_permissions,get,SupervisorAgentPermissions,"supervisoragents, supervisor_agents",supervisor_agent_id,Gets the permissions of a supervisor agent. Supervisor agents can inherit permissions from their root,Gets the permissions of a supervisor agent. Supervisor agents can inherit permissions from their root object.  :param supervisor_agent_id: str   The supervisor agent for which to get or manage permissions.  :returns: :class:`SupervisorAgentPermissions`,supervisor_agent_permissions,get,select,
supervisoragents.json,/api/2.0/permissions/supervisor-agents/{supervisor_agent_id},supervisor_agents_set_permissions,put,SupervisorAgentPermissions,"supervisoragents, supervisor_agents","supervisor_agent_id, access_control_list","Sets permissions on an object, replacing existing permissions if they exist. Deletes all direct","Sets permissions on an object, replacing existing permissions if they exist. Deletes all direct permissions if none are specified. Objects can inherit permissions from their root object.  :param supervisor_agent_id: str   The supervisor agent for which to get or manage permissions. :param access_control_list: List[:class:`SupervisorAgentAccessControlRequest`] (optional)  :returns: :class:`SupervisorAgentPermissions`",supervisor_agent_permissions,set,replace,
supervisoragents.json,/api/2.0/permissions/supervisor-agents/{supervisor_agent_id},supervisor_agents_update_permissions,patch,SupervisorAgentPermissions,"supervisoragents, supervisor_agents","supervisor_agent_id, access_control_list",Updates the permissions on a supervisor agent. Supervisor agents can inherit permissions from their,Updates the permissions on a supervisor agent. Supervisor agents can inherit permissions from their root object.  :param supervisor_agent_id: str   The supervisor agent for which to get or manage permissions. :param access_control_list: List[:class:`SupervisorAgentAccessControlRequest`] (optional)  :returns: :class:`SupervisorAgentPermissions`,supervisor_agent_permissions,update,update,
